Airport,Country,Iata,Number of Records,Passengers 2015,Year
Hartsfield Jackson Atlanta International,United States,ATL,1,101489887,2015
Beijing Capital International,China,PEK,1,89938628,2015
Dubai International,United Arab Emirates,DXB,1,78010265,2015
Chicago O’Hare International,United States,ORD,1,76942493,2015
Tokyo International,Japan,HND,1,75316718,2015
London Heathrow,United Kingdom,LHR,1,74989914,2015
Los Angeles International,United States,LAX,1,74704122,2015
Hong Kong International Kai Tak,Hong Kong,HKG,1,68342785,2015
Charles de Gaulle International,France,CDG,1,65771288,2015
Dallas Fort Worth International,United States,DFW,1,64072468,2015
Atatürk International,Turkey,IST,1,61836781,2015
Frankfurt am Main International,Germany,FRA,1,61032022,2015
Shanghai Pudong International,China,PVG,1,60053387,2015
Amsterdam Schiphol,Netherlands,AMS,1,58284848,2015
John F Kennedy International,United States,JFK,1,56845250,2015
Singapore Changi International,Singapore,SIN,1,55449000,2015
Guangzhou Baiyun International,China,CAN,1,55201915,2015
Soekarno-Hatta International,Indonesia,CGK,1,54053905,2015
Denver International,United States,DEN,1,54014903,2015
Suvarnabhumi (Bangkok),Thailand,BKK,1,52808013,2015
San Francisco International,United States,SFO,1,50057826,2015
Incheon International,South Korea,ICN,1,49412750,2015
Kuala Lumpur International,Malaysia,KUL,1,48934118,2015
 Madrid Barajas International,Spain,MAD,1,46814739,2015
 Indira Gandhi International (New Delhi),India,DEL,1,45981773,2015
 McCarran International (Las Vegas),United States,LAS,1,45356580,2015
 Charlotte Douglas International,United States,CLT,1,44876627,2015
Miami International,United States,MIA,1,44350250,2015
 Phoenix Sky Harbor International,United States,PHX,1,44025393,2015
George Bush Intercontinental Houston,United States,IAH,1,42962381,2015
Seattle Tacoma International,United States,SEA,1,42340461,2014
Chengdu Shuangliu International,China,CTU,1,42244842,2014
Lester B. Pearson International,Canada,YYZ,1,41036847,2014
Munich International,Germany,MUC,1,40981522,2014
Chhatrapati Shivaji International,India,BOM,1,40637377,2014
Leonardo Da Vinci (Fiumicino) International,Italy,FCO,1,40422156,2014
London Gatwick,United Kingdom,LGW,1,40271343,2014
Sydney Kingsford Smith International,Australia,SYD,1,39914103,2014
Shenzhen Bao’an International,China,SZX,1,39721619,2014
Barcelona International,Spain,BCN,1,39674095,2014
Guarulhos – Governador André Franco Montoro International,Brazil,GRU,1,39213865,2014
Shanghai Hongqiao International,China,SHA,1,39090699,2014
Orlando International,United States,MCO,1,38727749,2014
Taiwan Taoyuan International Airport,Taiwan,TPE,1,38473333,2014
Benito Juárez International Airport,Mexico,MEX,1,38433288,2014
Kunming Changshui International Airport,China,KMG,1,37523345,2014
Newark Liberty International,United States,EWR,1,37494704,2014
Narita International,Japan,NRT,1,37268307,2014
Ninoy Aquino International,Philippines,MNL,1,36583459,2014
Minneapolis-St Paul International/Wold-Chamberlain,United States,MSP,1,36556281,2014
